hru_nhm,majority,minority,frac_1,frac_5,frac_6,frac_8,frac_10,frac_11,frac_12,frac_14,frac_15,frac_16,frac_17,frac_18,frac_19
113497,10,15,0.223268106579781,0.115992814302444,0.0331557095050812,0.0934325233101845,0.318347215652466,0,0,0.00489719584584236,7.2762748459354e-05,0.110770754516125,0.0225417856127024,0.0775211527943611,0
113506,1,15,0.523337304592133,0.0744759142398834,0.0365131907165051,0.191231995820999,0.0240725129842758,0,0,0.00647983280941844,0.000202565817744471,0.134500458836555,0.00312637467868626,0.00537866493687034,0.000681192672345787
113547,15,16,0,0,0,0.0420453771948814,0.0956565141677856,0,0,0,0.818493902683258,0.000838664593175054,0.0412317365407944,0.00173384149093181,0
113543,15,6,0,0.0262394603341818,4.619597166311e-05,0.123597227036953,0.254370152950287,0,0,0.000110221342765726,0.500755131244659,0.00123818474821746,0.0895378962159157,0.00410556001588702,0
113490,1,15,0.356840908527374,0.00754341064020991,0.0220948588103056,0.202409401535988,0.160686880350113,0,0,0.00210562138818204,0.000357781129423529,0.180659085512161,0.00384384510107338,0.05319694429636,0.0102613037452102
113503,1,6,0.859883785247803,0.0825496837496758,0.000241606874624267,0.0100541152060032,0.0421473532915115,0,0,0,0,0,0.00366660626605153,0.00145684729795903,0
113538,8,14,0.0666724443435669,0.154812842607498,0.00949512142688036,0.323224186897278,0.278589427471161,0,0,0.000963150057941675,0.135851174592972,0.0011197755811736,0.014348023571074,0.0149237932637334,0
113501,1,15,0.480796545743942,0.0672813132405281,0.0290152784436941,0.168279230594635,0.0215535201132298,0,0,0.00080211745807901,7.38792368792929e-05,0.149223357439041,0,0.0826370790600777,0.000337733654305339
113540,15,17,0,0.0401836633682251,0,0.190440028905869,0.207212463021278,0,0,0,0.560401856899261,0,0.00176200072746724,0,0
113512,1,15,0.417709052562714,0.124762773513794,0.0719259530305862,0.158837109804153,0.029492799192667,0,0,0.00104590284172446,8.48029376356862e-05,0.188856467604637,0.00238352688029408,0.00490160938352346,0
113597,15,16,0,0.00416933046653867,0,0.044015608727932,0.103599324822426,0,0,0,0.813222467899323,0.000516859174240381,0.0150176351889968,0.0194587931036949,0
113571,15,5,0,0.000733816705178469,0,0.0112582566216588,0.0384350307285786,0,0,0,0.900670289993286,0.00140211405232549,0.0454431138932705,0.00205730763264,0
113589,15,16,0,0.000850039185024798,0,0.0502822436392307,0.121338754892349,0,0,0.00126588146667928,0.804103016853333,0.000167702237376943,0.0162693057209253,0.00572316255420446,0
113496,8,14,0.159668564796448,0.031416367739439,0,0.498803496360779,0.0403460897505283,0,0,0.00601252540946007,0,0.126142457127571,0,0.137610495090485,0
113498,1,15,0.398476481437683,0.0117911417037249,0.0120415603742003,0.289447098970413,0.01254125777632,0,0,0.000416825263528153,0.000366201304132119,0.253131538629532,0,0.0205381792038679,0.00124969659373164
113533,15,5,0.00070323736872524,4.17202591052046e-06,0,0.259670734405518,0.244780734181404,0,0,0,0.461368530988693,0,0.0152657935395837,0.0182068385183811,0
113523,1,18,0.474223136901855,0.200561389327049,0.0597667396068573,0.143853753805161,0.0789938047528267,0,0,0.00264980457723141,0.000398895324906334,0.0333725921809673,0.0057999212294817,0.000379900302505121,0
113494,1,6,0.420566648244858,0.00338045391254127,0.000457572808954865,0.266092836856842,0.00268233101814985,0,0,0.00151051476132125,0,0.237667545676231,0,0.0571708008646965,0.0104712434113026
113582,15,16,0,0.000460316659882665,0,0.0142558943480253,0.0744605511426926,0,0,0,0.88548868894577,4.9062400648836e-05,0.0218561813235283,0.00342928431928158,0
113492,16,14,0.337401419878006,0.00126820988953114,0.0295995566993952,0.282277941703796,0.00546776922419667,0,0,0.000178698552190326,0,0.338862866163254,0,0.00194526393897831,0.00299831666052341
113656,15,6,0.000524521979968995,0.000354823685484007,0.00017675464914646,0.0781273394823074,0.338434189558029,0,0,0.0275315754115582,0.529569506645203,0.00220607756637037,0.0116765834391117,0.0113986451178789,0
113683,15,1,5.79089974053204e-05,0.000758912647143006,0,0.0693116337060928,0.177805036306381,0,0,0.0417860299348831,0.685366630554199,0.000211689563002437,0.0217423886060715,0.00295972474850714,0
113696,15,1,0.000647799228318036,0,0,0.0991481095552444,0.117911644279957,0,0,0.139268279075623,0.5320063829422,0,0.108010716736317,0.00300707598216832,0
113703,15,8,0,0,0,0.00610011396929622,0.133416339755058,0,0,0.280094563961029,0.546338319778442,0,0.0274285320192575,0.00662211375311017,0
113680,15,16,0,0,0,0.130401939153671,0.177341133356094,0,0,0.147304445505142,0.497328966856003,0.00137550628278404,0.0462480410933495,0,0
